Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_71253241,grn_3.grn,72.3468449398343,0.945515689913858,7.13962264150943,71.8982623648212,0.513359453701613,1.01070840025674,594.05248,513.932367,8,19171.9139090561,0.103383458646617,132,265,1628,1,3,133,133,68.924894376763,146.76473438454,10478.5010530735,6,2.47644050705848,408.26269,20.9166666666667,296.520619133389,0.013085218171902,593.041238266778,-11.7300671697309,0.971340743347454,89,89.8021227013574,340.683264536234,20.9166666666667,6,1,0,20,1.46211522498088,1004,715.780141843972
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_61100965,grn_3.grn,61.2145530891988,0.956330908609194,6.34436090225564,75.7321754873345,0.441486461002754,1.01044010615416,545.803795,487.685662,13,40707.6778043172,0.091192755255255,332,665,3555,1,5,333,333,62.2487221762451,139.112048245523,20766.6867886825,7,2.32516420361248,492.165122,46.7111111111111,272.889685124567,0.012240892437924,545.779370249135,-11.1695852368811,0.547845267039925,189,182.709327888514,322.505991510852,46.7111111111111,24,1,0,20,1.35948544842536,2102,3230.2101010101
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_68141739,grn_3.grn,62.582274263386,0.958782901704526,6.42064714946071,74.3627265521899,0.446996531580543,1.00936539706304,581.20397,489.855064,10,40615.8959969375,0.092379807692308,324,649,3519,1,3,325,325,37.790697139796,75.4728208047938,18844.2817624925,6,2.6943598407013,517.006417,45.8510638297872,286.606350270762,0.013321894600107,573.212700541524,-10.9377325742653,0.936311270994629,201,196.424157033041,336.450932926546,45.8510638297872,21,1,0,20,1.48808576066826,2155,3518.65124884366
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_25400226,grn_3.grn,53.5266745397147,0.972201656574061,5.71929824561404,69.1481340458611,0.41806500377929,1.00853417012009,393.015478,234.540887,7,3051.02044876374,0.080280172413793,28,57,270,1,2,29,29,362.909275633538,379.658402998229,1492.2208416452,4,3.24358974358974,277.556483,4.97058823529412,204.24345010551,2.0541325461542,408.48690021102,-5.19848272848895,-0.655556992613199,16,15.2573815388931,272.32460014068,4.97058823529412,1.5,1,0,17,0.859233752558919,169,24.8778966131907
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_69283957,grn_3.grn,57.3520389115906,0.958566001819203,6.02666666666667,71.4248502878766,0.484882611356846,1.01059193996078,493.842259,423.85342,10,12904.2087551079,0.086006637168142,112,225,1132,1,6,113,113,197.320051906403,299.031444518886,6990.13360557342,5,2.21792140151515,459.681432,14.7209302325581,259.710925991923,2.15700033359396,519.421851983846,-4.5013513676094,2.2783818853214,84,83.9236821618302,333.914047703901,14.7209302325581,2,1,0,20,1.88694811433396,633,602.872646733112
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_8169426,grn_3.grn,47.808507571134,0.982506312599125,5.3015873015873,69.4673509144894,0.373548387096774,1.00569301272135,360.375431,370.294209,5,3011.93597698144,0.073974609375,31,63,272,1,3,32,32,338.468166811868,490.858603957275,1431.85033226538,4,2.26510721247563,206.592004,5.25806451612903,183.126168737905,2.04429141238174,366.252337475809,-5.1908165823937,-0.091255860292641,18,18.5399082698753,293.001869980648,5.25806451612903,2,1,0,20,1.22547340971364,163,38.8645161290323
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_91460095,grn_3.grn,175.266423208081,0.95899103376881,14.4444444444444,91.3193299394727,0.333333333333333,1.00908622140016,577.741855,104.441654,4,1577.39780887272,0.196875,4,9,122,1,1,5,5,17.6805443672547,17.6805443672547,574.364786647958,3,2.33333333333333,168.8193,2.36363636363636,287.928286327348,2.90741383233459,575.856572654697,-1.13131288232309,2.02930482593485,5,4.56570183616737,294.624292986124,2.36363636363636,2,1,0,20,1.29593403159147,104,0.93446088794926
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_45992213,grn_3.grn,80.8426382730935,0.937137891741391,7.73793103448276,76.5956786779121,0.377227675856662,1.0133622441672,569.97508,481.666101,8,11722.1825495986,0.112371575342466,72,145,978,1,3,73,73,7.99470037379919,277.748413372431,6539.62012826043,5,2.26785714285714,456.055561,12.8260869565217,286.957029796166,0.016484036554873,573.914059592332,-11.292611914957,1.66324366905815,65,62.558928854402,293.333852680525,12.8260869565217,3,1,0,20,1.67902519203345,590,345.702415458937
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_90161656,grn_3.grn,60.9053308053643,0.961253508700822,6.3219512195122,69.3461810245438,0.442407564641996,1.00914756226914,548.607711,399.90384,11,12485.5928150997,0.09056432038835,102,205,1092,1,3,103,103,160.147003669582,242.331033008802,5767.42590764649,5,2.52081894337885,326.476346,15.3863636363636,266.627178344088,1.89577659803001,533.254356688177,-5.41030809692788,0.997192939606193,65,62.214307105327,359.636659161794,15.3863636363636,8,1,0,20,1.41080504884243,677,332.893763213531
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_31292939,grn_3.grn,81.036942088716,0.940627121034476,7.6734693877551,70.1139621718169,0.421307798481712,1.01514579175908,447.63301,345.344714,5,3970.81016234708,0.11,24,49,328,1,2,25,25,186.365697002154,218.482182682852,1853.38164030776,4,2.51190476190476,396.271516,5.94444444444444,224.902590165289,1.99763246297064,449.805180330577,-5.39046396829462,-0.125623925357742,20,18.9297816352905,372.695720845336,5.94444444444445,3,1,0,20,1.14801721201671,214,39.3111111111111
