Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_46944944,grn_0.grn,56.5334083999755,0.970134346438901,6.00689655172414,69.9499647637876,0.410695934744392,1.0081158427721,497.759828,410.338847,7,8197.34421799644,0.085509417808219,72,145,727,1,4,73,73,137.418436753578,318.889601827543,3547.20165410959,5,2.106474407945,575.959703,9.97560975609756,245.539490884623,2.00528376720956,491.078981769247,-4.80494259311221,-0.83941718178633,27,24.763794362081,368.309236326935,9.97560975609757,9,1,0,20,0.538750081682745,409,61.1743902439025
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_58589531,grn_0.grn,63.7246232721966,0.973774172838498,6.55428571428571,64.5204864333681,0.499354169956538,1.00661033054284,449.270186,394.592682,11,11151.8090726344,0.094105113636364,87,175,973,1,3,88,88,115.492763771562,243.374400752612,5729.08101836074,5,2.92666841369672,610.035622,13.6666666666667,253.531992363672,1.96233398295434,507.063984727344,-5.07043079239369,-1.12851042691304,40,40.4337323930458,358.655013587633,13.6666666666667,8.5,1,0,20,0.7000636427386,574,194.032520325203
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_1872675,grn_0.grn,60.8517561686907,0.964680743037442,6.32,75.9627919333851,0.577749427749428,1.01054545270054,510.396932,471.605867,8,4563.8817126518,0.08984375,37,75,400,1,4,38,38,121.145468789165,367.878452711656,2725.39691606535,4,2.22948717948718,405.609286,5.23255813953488,258.636911517228,2.41008911114206,517.273823034455,-3.38902352013991,0.8107478205694,20,18.5674393064516,357.165258761886,5.23255813953488,3,1,0,20,1.37776807301876,225,29.3255813953488
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_38391283,grn_0.grn,54.9199775241022,0.96683466831083,5.87537993920973,79.6847631213848,0.46910060184047,1.00928574815989,506.11575,558.685486,10,18068.6726054296,0.08375946969697,164,329,1605,1,8,165,165,129.376158504023,360.352204765304,8511.73802642953,5,2.37818223443223,638.824922,19.6,238.283150193196,0.013612923083452,476.566300386392,-11.1853739166592,-1.24740277070338,42,40.5564367538392,342.150164379974,19.6,18.5,1,0,20,0.153803627514268,784,176.451282051282
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_52396320,grn_0.grn,69.3196546732793,0.963799333065119,6.94736842105263,66.9664851655758,0.356596578025149,1.00783140027264,455.435669,499.804616,6,3951.22031637692,0.099137931034483,28,57,340,1,3,29,29,19.830018471556,375.787533049484,1359.36015347514,4,2.17195767195767,319.82217,5.41025641025641,237.163261726237,2.43694419538389,474.326523452474,-2.95291436493982,-0.872537556169561,13,13.154566925041,386.950584921755,5.41025641025641,4,1,0,19,0.793367284405665,211,16.8272604588394
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_82733241,grn_0.grn,52.6585579414962,0.968829629885103,5.77070063694268,73.4438948252757,0.452416684528754,1.008585447049,381.853772,422.475906,9,8267.3935968149,0.081882911392405,78,157,750,1,1,79,79,197.14476223377,197.14476223377,4239.54113983794,5,3.81690821256039,524.703947,10,229.096185252494,2.2059536598929,458.192370504988,-3.47413834273042,-0.654047262000823,22,20.6941000580747,409.961594662358,10,10,1,1,19,0.273520986578942,390,34.8421052631579
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_33732969,grn_0.grn,111.143167029215,0.959160499940507,9.88,55.4198302574183,0.383838383838384,1.01119347544812,403.283097,666.507224,4,2778.57917573038,0.141225961538462,12,25,223,1,1,13,13,12.8641793633849,12.8641793633849,898.071250013842,4,2.53571428571429,392.075539,3.975,254.306986784093,2.75873545716967,508.613973568187,-1.39590302531508,0.101210123764768,8,7.52449018077852,365.158750254083,3.975,4,1,0,20,0.344260224380431,159,2.64038461538461
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_44306518,grn_0.grn,54.4800887599485,0.959248742468203,5.85581395348837,74.0682024138299,0.475068855360285,1.01045471469682,627.356121,542.078863,10,11713.2190833889,0.083333333333333,107,215,1045,1,5,108,108,17.7670344326921,331.560652395892,5663.03946435245,5,2.18727272727273,538.409116,13.0512820512821,231.510048941302,0.018012310388418,463.020097882603,-10.561485866942,-1.395760491507,31,29.9960516655895,231.510048941302,13.0512820512821,10,1,0,19,0.349433372006082,509,95.9973009446694
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_48541394,grn_0.grn,64.2972342948114,0.938705572682099,6.58904109589041,72.8554874571602,0.458339212228101,1.01581858612031,315.458187,370.235833,6,4693.69810352123,0.093961148648649,36,73,409,1,5,37,37,144.484373072731,348.671756884782,2122.3382318613,4,1.95396825396825,291.04889,6.3125,191.858225030681,1.96401974385424,383.716450061362,-5.17120438679715,-1.50477295409417,14,12.8837588368905,346.582600055424,6.3125,6,1,0,16,0.063571760117514,202,20.1572580645161
snt_maxTime_6_filenameGRN_grn_0.grn_randomSeed_60294489,grn_0.grn,77.6419232828927,0.960713619906274,7.51824817518248,76.4443782939714,0.398463788975887,1.00843289766216,505.96889,694.719741,8,10636.9434897563,0.108922101449275,68,137,894,1,2,69,69,68.3745551224636,82.229202577496,5594.3201063567,5,2.56689958592132,610.526297,12.5853658536585,252.90928567398,0.013397490782101,505.81857134796,-11.7755034918502,-0.85353969463275,32,31.4544032903776,366.718464227271,12.5853658536585,11,1,0,20,0.516334653828957,516,97.0987804878049
