Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_47721546,grn_1.grn,59.7352198012936,0.997770643459674,6.21236133122029,75.7834850315158,0.468855828546818,1.00043969067573,865.681034,761.978667,12,37692.9236946163,0.089126780063291,315,631,3290,1,3,316,316,63.719561656668,144.54338677034,19373.2376304636,6,2.72948047570899,792.662636,38.5208333333333,291.87940279385,0.013519739527171,583.758805587699,-10.6277301281925,-1.4712395938076,91,88.6086600459919,273.248802615519,38.5208333333333,37,1,0,20,0.263475571709331,1849,976.893173758865
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_68985126,grn_1.grn,61.2669434012055,0.997014278037221,6.30388219544846,75.5364916386085,0.446000664063339,1.00058681215689,920.234316,812.662916,13,45766.4067207005,0.090574866310161,373,747,3963,1,1,374,374,49.2134539443269,49.2134539443269,24376.8202707378,7,2.81378547174388,858.550435,44.0416666666667,293.272387175959,0.013056067010313,586.544774351918,-10.5100764451556,-1.38186880674797,104,98.3529175623157,374.390281501224,44.0416666666667,34,1,0,20,0.353487347326648,2114,1144.42375886525
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_90295697,grn_1.grn,62.2312087829242,0.998528745584502,6.3873417721519,74.3595010150028,0.554760621042597,1.00031648324249,667.198591,742.763471,10,24581.3274692551,0.091777146464647,197,395,2129,1,3,198,198,11.9991242742096,147.993235032921,13589.7492802211,6,2.40741828146408,851.048469,25.3958333333333,293.20437541696,2.20566459391012,586.40875083392,-2.89923982252236,-0.865005627802993,65,62.8184611994807,436.687367642281,25.3958333333333,22,1,0,20,0.383105469085413,1219,337.946365248227
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_81562717,grn_1.grn,88.395325958042,0.996046796608005,8.22448979591837,78.3640820912946,0.375776397515528,1.00058279092924,607.416093,514.312535,5,4331.37097194406,0.1184375,24,49,355,1,1,25,25,79.9931241295137,79.9931241295137,2167.12678281847,5,2.38701923076923,564.684401,5.28260869565217,290.589072494557,2.22779856380138,581.178144989115,-4.21730965545976,-0.674967352682465,14,12.8423183081811,413.282236436704,5.28260869565218,4,1,0,20,0.54987133943385,243,13.051690821256
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_12565410,grn_1.grn,62.9218298703735,0.997913673441761,6.44471744471745,77.553225496646,0.456266329657511,1.00039544149409,740.085715,912.11811,13,25609.184757242,0.092677696078431,203,407,2217,1,1,204,204,20.69673269707,20.69673269707,12436.8723295583,6,3.56243120863811,894.408807,24.7291666666667,293.187746706091,0.013252631895141,586.375493412182,-10.9340038346663,-1.48617899506555,51,48.9336495013916,299.425783870051,24.7291666666667,25,1,0,20,-0.050343473432266,1187,276.031471631206
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_13783255,grn_1.grn,57.8256338983782,0.997698128163235,6.09333333333333,81.0338131964009,0.541215391215391,1.00043243578144,795.615113,570.693574,7,4336.92254237837,0.086348684210526,37,75,383,1,2,38,38,103.205854276561,330.83937124771,1954.59162791012,4,2.92746913580247,373.022401,4.41666666666667,290.276871119581,2.33397961086726,580.553742239162,-3.94256673179448,1.33066581065726,16,15.8799504974075,457.031669422319,4.41666666666667,2,1,0,20,1.59998047895452,212,20.2056737588652
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_79661104,grn_1.grn,67.613450572056,0.993543951154873,6.76586741889986,71.2301352509873,0.439165683605664,1.00120497695255,727.695794,844.532116,14,47937.9364555877,0.097777288732394,354,709,4089,1,6,355,355,37.9928080871388,209.74503690041,25289.909908985,6,2.29127958328728,771.283997,51.8444444444444,277.092576748991,0.012951882597031,554.185153497982,-10.4335031973081,-1.43551047305426,105,104.566349185772,302.2828109989,51.8444444444445,49,1,0,20,-0.007079707842929,2333,1296.54343434343
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_33761634,grn_1.grn,65.1976559915573,0.989909624354241,6.5757071547421,72.9549391011746,0.466303015386052,1.00202527948581,464.967266,581.109458,12,39183.7912509259,0.094788205980066,300,601,3352,1,2,301,301,33.9766873989734,84.1641766466655,20950.3676940249,6,2.94327431926308,593.675675,46.4186046511628,264.049860802035,0.01120013739018,528.099721604069,-11.3031636430192,-0.800567909799071,138,134.394384674218,352.06648106938,46.4186046511628,31,1,0,20,0.713034493779035,1996,1914.77297895903
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_37901932,grn_1.grn,60.4962413216981,0.986890266538513,6.26315789473684,67.5426670304822,0.474239030672004,1.00337001936343,528.277813,303.614844,13,8046.00009578585,0.089435634328358,66,133,701,1,3,67,67,46.1338212297621,318.3513977238,4069.43945804385,5,2.21687552213868,440.240518,9.22222222222222,273.77401550387,2.13234954012258,547.54803100774,-4.42427940614542,-1.24431938630161,27,26.3501707792306,360.883929527829,9.22222222222222,4,1,0,19,0.682018141866893,415,80.3585858585858
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_8471799,grn_1.grn,69.7063842125444,0.998972793170691,6.92744479495268,75.0518193894201,0.494671440407562,1.00023691005906,764.116896,756.084171,10,22096.9237953766,0.100137578616352,158,317,1880,1,1,159,159,12.99839124788,12.99839124788,11323.4792217658,6,3.02458333333333,803.589332,23.3333333333333,296.333206958005,0.013156435168006,592.666413916009,-10.924736078581,-1.40636756849241,49,46.1892395355427,327.858016208856,23.3333333333333,18,1,0,20,0.279026218314559,1120,248.524822695035
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_41164797,grn_1.grn,63.0216958977556,0.999732161651964,6.41860465116279,76.3727818064414,0.455453805453805,1.00006240676569,565.260247,487.774253,6,2709.93292360349,0.090553977272727,21,43,234,1,2,22,22,279.997520644589,310.440197485879,1153.58562629986,4,2.45833333333333,361.774579,2.91666666666667,294.35876279275,2.41957115218725,588.717525585499,-3.84174689200335,1.46066758982634,11,8.27421743417542,400.828953590127,2.91666666666667,1.5,1,0,20,1.41181771239701,140,6.58865248226951
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_92921634,grn_1.grn,235.665169053843,0.999975612246637,18.6666666666667,60.4211876345084,0,1.00000462063556,204.406515,421.369322,2,706.995507161529,0.21484375,1,3,54,1,1,2,2,500.997939615957,500.997939615957,205.997567545572,2,2,432.166564,1.15909090909091,292.276805754705,2.87113239231998,584.553611509409,-2.02009824660742,1.80716505455182,2,2.0857001064423,530.176531368999,1.15909090909091,1,1,0,20,1.93055708691201,51,0.136892177589852
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_93949242,grn_1.grn,57.6681695224669,0.996714842108933,6.04608294930876,75.6682291457656,0.480442341252043,1.00067711026979,749.491563,496.602028,11,12513.9927863753,0.086295871559633,108,217,1096,1,3,109,109,87.9543883923339,167.515382067812,5857.11865952886,5,2.67678812415654,575.091151,13.7083333333333,291.392193889755,1.98650434864433,582.784387779511,-4.90216975972722,-1.13648575773899,37,35.3121697972668,409.189038228167,13.7083333333333,7.5,1,0,20,0.58845215218821,658,153.445035460993
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_12015643,grn_1.grn,64.3396078809078,0.998835221916867,6.53310104529617,75.7427804903105,0.509985448587567,1.00021550214884,875.545309,911.106947,10,18465.4674618205,0.093967013888889,143,287,1589,1,1,144,144,10.9971900347856,10.9971900347856,9562.52104371436,6,2.82088661551577,758.499549,20.9375,294.388422945519,2.13431978049965,588.776845891037,-3.4750051222059,-0.176230977511665,61,61.455195166455,425.923675750963,20.9375,16,1,0,20,0.956907495025235,1005,313.293882978723
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_6479909,grn_1.grn,64.3056508123022,0.996970972776046,6.53191489361702,75.5445041071476,0.461838336319942,1.00059555836596,642.388385,618.785341,10,15111.827940891,0.093882415254237,117,235,1301,1,3,118,118,104.969425164872,198.947657333426,7145.70570819097,5,2.61331097792999,748.347345,16.2127659574468,287.996238286663,0.010406838059053,575.992476573325,-12.3943801884694,-1.23623058379443,42,41.7850550087007,350.604116175067,16.2127659574468,11,1,0,20,0.398995117860048,762,179.040703052729
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_5939993,grn_1.grn,52.9574486878062,0.99875253771945,5.70967741935484,76.563920140598,0.468064182194617,1.00023824970528,545.015175,414.591105,9,4925.04272796597,0.08061835106383,46,93,439,1,3,47,47,316.992617499174,342.570114846008,2521.31225276009,5,2.38666666666667,414.064406,4.40816326530612,294.430707398786,2.21840695444353,588.861414797572,-4.55392745026954,-1.66462619762987,10,9.42728441349234,429.378114956563,4.40816326530612,2,1,0,20,0.351795221079587,216,11.6632653061225
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_62399333,grn_1.grn,74.7703810772097,0.990287556017093,7.25396825396825,63.4230755450822,0.451330628749984,1.00173321087334,485.202325,412.180213,6,4710.53400786421,0.10400390625,31,63,395,1,3,32,32,34.9966049274437,354.916789582894,1790.22190210784,4,2.25555555555556,385.305023,5.67441860465116,267.23465849342,2.32098049008267,534.46931698684,-3.64687398736997,-0.356056528348595,16,16.0549970280172,445.391097489033,5.67441860465116,3,1,0,20,0.887942022048873,244,21.0343300110742
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_70893721,grn_1.grn,70.13379111081,0.999339551793462,6.957805907173,77.8302652767535,0.456687909653844,1.00013397474611,870.877256,798.144833,10,16621.708493262,0.100512079831933,118,237,1413,1,2,119,119,133.718173523843,143.995944059467,8808.23322234757,6,2.52412698412698,574.027215,17.468085106383,290.425661449286,0.011683320123884,580.851322898573,-11.822108951707,-1.06462086879113,48,42.6745421362449,366.188877479535,17.468085106383,15,1,0,20,0.496844822389127,821,193.384828862165
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_45127656,grn_1.grn,57.949268020781,0.998982169908599,6.03856041131105,74.5946945083984,0.505392325385947,1.00023290831704,766.243544,714.149896,13,22542.2652600838,0.086338141025641,194,389,1961,1,1,195,195,42.9920183617797,42.9920183617797,11928.5321395747,6,3.33897408304188,584.874739,23.0208333333333,292.717572612029,1.86398974190908,585.435145224059,-5.07463067107207,-1.17007648786647,66,62.1846240162665,361.225940670164,23.0208333333333,13.5,1,0,20,0.615207262041595,1105,457.59530141844
snt_maxTime_6_filenameGRN_grn_1.grn_randomSeed_77662345,grn_1.grn,96.4442716129276,0.977269195509992,8.8,63.080647864712,0.380952380952381,1.00335221991883,383.232243,207.770375,4,1446.66407419391,0.1220703125,7,15,118,1,2,8,8,263.754003494442,379.915105661048,438.981421507568,3,2.05,343.951803,1.91891891891892,234.015310177005,2.60059216785377,468.03062035401,-3.04255754182299,1.79985088993527,6,5.65492959354689,390.025516961675,1.91891891891892,1,1,0,18,1.54304455186217,71,1.7987987987988
