Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_96282469,grn_4.grn,53.9244759796767,0.907659280817898,5.63258785942492,38.6385583953225,0.49944338929337,1.03667864405274,284.627008,152.435464,11,16878.3609816388,0.079966162420382,156,313,1451,1,2,157,157,49.378147009726,112.761305799062,8402.41107146745,6,2.47908212560386,296.739505,21.28125,198.418879091073,1.7032344304531,396.837758182146,-5.96385338070147,1.80209924316877,110,104.483170001376,320.030450146892,21.28125,6.5,1,0,16,1.78426728436001,681,1070.01512096774
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_62719876,grn_4.grn,69.1915983699697,0.797782313824372,6.86666666666667,45.3734320451198,0.371428571428571,1.05066271418585,166.975742,64.88735,4,1037.87397554955,0.09375,7,15,89,1,4,8,8,362.81763826066,468.493074899152,427.548530270657,3,1.70833333333333,287.397504,2,157.076341578149,2.57004851764393,314.152683156299,-3.16924076772371,3.55476430307902,8,7.99977199158693,301.586575830047,2,1,1,1,20,2.22091546725954,52,5.36
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_64956182,grn_4.grn,55.4685688914008,0.934234611491707,5.82795698924731,33.253565293186,0.453956865793053,1.02140399610637,270.031679,120.297522,6,5158.57690690027,0.082446808510638,46,93,450,1,4,47,47,62.9621291478473,365.341217460932,2561.3803787377,4,2.36143695014663,295.477877,7.28125,193.27200087949,2.0429351515422,386.544001758979,-4.92862727467898,2.81720296341583,38,35.7561152333931,336.667356370724,7.28125,2,1,0,16,1.94328073405687,233,102.53125
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_52252152,grn_4.grn,51.6070127585804,0.883726173370835,5.33413751507841,38.711600689593,0.498371117244586,1.0463860429236,270.082379,155.224174,12,42782.2135768631,0.075451807228916,414,829,3594,1,1,415,415,17.3972224812816,17.3972224812816,22489.2725868838,7,3.15316935490967,337.02634,56.40625,208.468155186136,1.45080803347512,416.936310372271,-6.4694245037247,3.46124864608456,332,344.072963432384,349.688518376744,56.40625,17,1,0,16,2.13701801839112,1805,9056.63608870968
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_37146249,grn_4.grn,41.8890460561097,0.911573277968899,4.91566265060241,46.3894966386087,0.476173706733248,1.03619583571134,212.189068,153.001215,6,3476.79082265711,0.068266369047619,41,83,326,1,1,42,42,269.391321679545,269.391321679545,1719.31934871065,5,3.14484126984127,268.932235,5.17241379310345,166.834821031423,2.20859402974519,333.669642062846,-4.60472682595702,3.60396761994819,32,32.3449234037737,297.919323270398,5.17241379310345,1,1,0,14,2.14043618390494,150,77.2906403940887
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_69734940,grn_4.grn,47.3208707142571,0.895281494228959,5.23188405797101,42.0176292922844,0.480715001883646,1.03959646387045,265.944288,164.253051,7,9795.42023785122,0.073617788461539,103,207,877,1,2,104,104,131.246459890758,179.009646640888,4371.74898441987,6,2.3468253968254,336.397265,11.8235294117647,205.056211291276,1.79176493016288,410.112422582552,-6.12150562188325,5.31378118501221,82,80.784119896568,360.401825905879,11.8235294117647,4,1,0,17,2.44027168422632,402,402.452762923351
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_83191691,grn_4.grn,57.8086400117917,0.893004119100192,5.87459807073955,36.5914681129153,0.551322471875645,1.03807487322383,327.089166,184.631233,9,17978.4870436672,0.083733974358974,155,311,1517,1,3,156,156,11.8492549132469,216.885480279235,9645.53343547779,5,2.84723052028877,267.754006,24.875,201.995072934052,1.9285763045198,403.990145868104,-4.42849877531567,1.25048719341586,114,111.158446224138,325.798504732342,24.875,6.5,1,0,16,1.55608508578724,796,1101.46774193548
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_66767726,grn_4.grn,47.9278986748386,0.915809312016378,5.33766233766234,50.6646078135653,0.421770266507109,1.03563408029602,281.645593,122.041661,8,3690.44819796257,0.074719551282051,38,77,335,1,1,39,39,28.8023395321009,28.8023395321009,1417.95563559659,5,2.80625,297.984937,5.39393939393939,194.061389668501,2.23984111292591,388.122779337003,-4.01104829311868,2.5394142506118,25,20.506523685778,339.607431919877,5.3939393939394,2,1,0,16,1.78651564210372,178,36.9337121212121
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_51939872,grn_4.grn,164.604097634295,0.837460151022834,13.6,17.7564232009319,0.5,1.03906445291314,232.492161,30.430174,2,823.020488171473,0.171875,2,5,64,1,2,3,3,346.679917676232,433.369503703491,389.650984467982,2,1.5,306.999696,1.35714285714286,180.700468432061,2.80920793668021,361.400936864122,-2.21013076195174,14.113738116674,6,5.32254776166944,294.47483744484,1.35714285714286,1,1,1,20,3.60462503158113,38,1.12698412698413
snt_maxTime_6_filenameGRN_grn_4.grn_randomSeed_40870735,grn_4.grn,128.357242402193,0.811377973781842,11,45.9349952407475,0.5,1.03445268200897,131.272935,23.01391,2,641.786212010964,0.138020833333333,2,5,51,1,2,3,3,438.698958368738,484.747515444201,157.038696566763,2,1.5,347.865962,1.42857142857143,178.811770572198,2.79300896206533,357.623541144396,-2.29936543766883,21.5320892125626,9,8.9997265952583,344.378224805714,1.42857142857143,1,1,0,20,4.50231984657526,40,2.47619047619048
